iter	Passed	Remaining
480	620	669
481	621	668
482	622	666
483	623	665
484	624	663
485	625	661
486	626	660
487	627	658
488	628	656
489	629	655
490	630	653
491	631	652
492	632	650
493	633	649
494	634	647
495	635	645
496	636	644
497	637	642
498	638	641
499	639	639
500	640	638
501	641	636
502	642	634
503	643	633
504	644	631
505	645	630
506	646	628
507	647	626
508	648	625
509	649	623
510	650	622
511	651	620
512	652	619
513	653	617
514	654	615
515	655	614
516	656	613
517	657	611
518	658	610
519	659	608
520	660	607
521	661	605
522	662	604
523	663	602
524	664	601
525	665	599
526	666	598
527	667	596
528	668	595
529	669	593
530	670	592
531	671	590
532	672	588
533	673	587
534	674	585
535	675	584
536	676	583
537	677	581
538	678	579
539	679	578
540	680	577
541	681	575
542	682	574
543	683	572
544	684	571
545	685	569
546	685	568
547	687	566
548	688	565
549	689	563
550	689	562
551	690	560
552	691	559
553	692	557
554	693	556
555	694	554
556	695	553
557	696	551
558	697	550
559	698	548
560	699	547
561	700	546
562	701	544
563	702	543
564	703	541
565	704	540
566	705	538
567	706	537
568	707	535
569	708	534
570	709	532
571	710	531
572	711	530
573	712	528
574	713	527
575	714	526
576	715	524
577	716	523
578	717	521
579	718	520
580	719	519
581	720	517
582	721	516
583	722	514
584	723	513
585	724	512
586	725	510
587	726	509
588	727	507
589	728	506
590	729	504
591	730	503
592	731	502
593	732	500
594	733	499
595	734	497
596	735	496
597	736	494
598	737	493
599	738	492
600	739	490
601	740	489
602	740	487
603	741	486
604	742	485
605	743	483
606	744	482
607	745	480
608	746	479
609	747	477
610	748	476
611	749	475
612	750	473
613	751	472
614	752	470
615	753	469
616	754	468
617	755	466
618	756	465
619	757	464
620	758	462
621	759	461
622	759	459
623	760	458
624	761	457
625	763	455
626	763	454
627	764	453
628	765	451
629	766	450
630	767	449
631	768	447
632	769	446
633	770	444
634	771	443
635	772	442
636	773	440
637	774	439
638	775	438
639	776	436
640	777	435
641	778	434
642	779	432
643	780	431
644	781	430
645	782	428
646	783	427
647	784	426
648	785	424
649	786	423
650	787	422
651	788	420
652	789	419
653	790	418
654	791	416
655	792	415
656	793	414
657	794	412
658	795	411
659	796	410
660	797	408
661	798	407
662	799	406
663	800	405
664	801	403
665	802	402
666	803	401
667	804	399
668	805	398
669	806	397
670	807	395
671	808	394
672	809	393
673	810	391
674	811	390
675	812	389
676	813	387
677	814	386
678	815	385
679	816	384
680	817	382
681	818	381
682	819	380
683	820	378
684	821	377
685	822	376
686	823	374
687	824	373
688	825	372
689	825	371
690	826	369
691	827	368
692	828	367
693	829	365
694	830	364
695	831	363
696	832	362
697	833	360
698	834	359
699	835	358
700	836	356
701	837	355
702	839	354
703	840	353
704	841	352
705	841	350
706	842	349
707	843	347
708	844	346
709	845	345
710	846	344
711	847	342
712	848	341
713	849	340
714	850	339
715	851	337
716	852	336
717	853	335
718	854	334
719	856	332
720	857	331
721	858	330
722	859	329
723	860	327
724	861	326
725	862	325
726	863	324
727	864	322
728	865	321
729	866	320
730	867	319
731	868	317
732	869	316
733	870	315
734	871	314
735	872	312
736	873	311
737	874	310
738	875	309
739	876	307
740	877	306
741	878	305
742	879	304
743	880	302
744	881	301
745	882	300
746	883	299
747	884	297
748	885	296
749	886	295
750	886	294
751	887	292
752	888	291
753	889	290
754	890	289
755	891	287
756	893	286
757	894	285
758	895	284
759	896	282
760	897	281
761	898	280
762	899	279
763	900	278
764	901	276
765	902	275
766	903	274
767	903	273
768	905	271
769	906	270
770	907	269
771	907	268
772	908	266
773	909	265
774	910	264
775	911	263
776	912	261
777	913	260
778	914	259
779	915	258
780	916	257
781	917	255
782	918	254
783	919	253
784	920	252
785	921	250
786	922	249
787	924	248
788	925	247
789	926	246
790	927	245
791	928	243
792	929	242
793	930	241
794	931	240
795	932	238
796	933	237
797	934	236
798	935	235
799	936	234
800	937	232
801	938	231
802	939	230
803	940	229
804	940	227
805	941	226
806	942	225
807	943	224
808	944	223
809	945	221
810	946	220
811	947	219
812	948	218
813	949	216
814	950	215
815	951	214
816	952	213
817	952	212
818	953	210
819	954	209
820	955	208
821	956	207
822	957	205
823	958	204
824	959	203
825	960	202
826	961	201
827	962	199
828	963	198
829	964	197
830	965	196
831	966	195
832	967	193
833	968	192
834	969	191
835	970	190
836	970	189
837	972	187
838	973	186
839	974	185
840	975	184
841	976	183
842	977	182
843	978	180
844	979	179
845	980	178
846	981	177
847	982	176
848	983	174
849	985	173
850	985	172
851	987	171
852	988	170
853	989	169
854	990	167
855	991	166
856	992	165
857	993	164
858	994	163
859	995	162
860	996	160
861	998	159
862	999	158
863	1000	157
864	1001	156
865	1002	155
866	1003	153
867	1004	152
868	1005	151
869	1006	150
870	1007	149
871	1008	148
872	1009	146
873	1010	145
874	1012	144
875	1013	143
876	1014	142
877	1015	141
878	1016	139
879	1017	138
880	1018	137
881	1019	136
882	1020	135
883	1021	134
884	1022	132
885	1023	131
886	1024	130
887	1025	129
888	1026	128
889	1027	127
890	1028	125
891	1029	124
892	1030	123
893	1031	122
894	1032	121
895	1034	120
896	1036	119
897	1039	118
898	1041	117
899	1044	116
900	1046	114
901	1048	113
902	1050	112
903	1053	111
904	1056	110
905	1059	109
906	1061	108
907	1063	107
908	1065	106
909	1067	105
910	1069	104
911	1072	103
912	1074	102
913	1076	101
914	1078	100
915	1080	99
916	1083	98
917	1085	96
918	1087	95
919	1089	94
920	1092	93
921	1094	92
922	1096	91
923	1098	90
924	1100	89
925	1103	88
926	1105	87
927	1107	85
928	1109	84
929	1111	83
930	1114	82
931	1116	81
932	1118	80
933	1120	79
934	1122	78
935	1124	76
936	1126	75
937	1128	74
938	1131	73
939	1133	72
940	1135	71
941	1138	70
942	1140	68
943	1142	67
944	1145	66
945	1147	65
946	1149	64
947	1151	63
948	1154	62
949	1156	60
950	1158	59
951	1160	58
952	1163	57
953	1165	56
954	1167	55
955	1169	53
956	1172	52
957	1174	51
958	1176	50
959	1178	49
960	1181	47
961	1183	46
962	1186	45
963	1188	44
964	1190	43
965	1192	41
966	1194	40
967	1197	39
968	1199	38
969	1201	37
